v_delta,s_delta,EgoSpeed,EgoStartS,CollisionDetected,Filename
36.0,38.0,108.0,25.0,True,log_238_of_416.txt
38.0,38.0,108.0,25.0,True,log_239_of_416.txt
22.0,12.0,108.0,25.0,True,log_23_of_416.txt
40.0,38.0,108.0,25.0,True,log_240_of_416.txt
10.0,40.0,108.0,25.0,False,log_241_of_416.txt
12.0,40.0,108.0,25.0,False,log_242_of_416.txt
14.0,40.0,108.0,25.0,False,log_243_of_416.txt
16.0,40.0,108.0,25.0,False,log_244_of_416.txt
18.0,40.0,108.0,25.0,False,log_245_of_416.txt
20.0,40.0,108.0,25.0,False,log_246_of_416.txt
22.0,40.0,108.0,25.0,False,log_247_of_416.txt
24.0,40.0,108.0,25.0,True,log_248_of_416.txt
26.0,40.0,108.0,25.0,False,log_249_of_416.txt
24.0,12.0,108.0,25.0,True,log_24_of_416.txt
28.0,40.0,108.0,25.0,True,log_250_of_416.txt
30.0,40.0,108.0,25.0,True,log_251_of_416.txt
32.0,40.0,108.0,25.0,True,log_252_of_416.txt
34.0,40.0,108.0,25.0,True,log_253_of_416.txt
36.0,40.0,108.0,25.0,True,log_254_of_416.txt
38.0,40.0,108.0,25.0,True,log_255_of_416.txt
40.0,40.0,108.0,25.0,True,log_256_of_416.txt
10.0,42.0,108.0,25.0,False,log_257_of_416.txt
12.0,42.0,108.0,25.0,False,log_258_of_416.txt
14.0,42.0,108.0,25.0,False,log_259_of_416.txt
26.0,12.0,108.0,25.0,True,log_25_of_416.txt
16.0,42.0,108.0,25.0,False,log_260_of_416.txt
18.0,42.0,108.0,25.0,False,log_261_of_416.txt
20.0,42.0,108.0,25.0,False,log_262_of_416.txt
22.0,42.0,108.0,25.0,False,log_263_of_416.txt
24.0,42.0,108.0,25.0,False,log_264_of_416.txt
26.0,42.0,108.0,25.0,False,log_265_of_416.txt
28.0,42.0,108.0,25.0,True,log_266_of_416.txt
30.0,42.0,108.0,25.0,True,log_267_of_416.txt
32.0,42.0,108.0,25.0,True,log_268_of_416.txt
34.0,42.0,108.0,25.0,True,log_269_of_416.txt
28.0,12.0,108.0,25.0,True,log_26_of_416.txt
36.0,42.0,108.0,25.0,True,log_270_of_416.txt
38.0,42.0,108.0,25.0,True,log_271_of_416.txt
40.0,42.0,108.0,25.0,True,log_272_of_416.txt
10.0,44.0,108.0,25.0,False,log_273_of_416.txt
12.0,44.0,108.0,25.0,False,log_274_of_416.txt
14.0,44.0,108.0,25.0,False,log_275_of_416.txt
16.0,44.0,108.0,25.0,False,log_276_of_416.txt
18.0,44.0,108.0,25.0,False,log_277_of_416.txt
20.0,44.0,108.0,25.0,False,log_278_of_416.txt
22.0,44.0,108.0,25.0,False,log_279_of_416.txt
30.0,12.0,108.0,25.0,True,log_27_of_416.txt
24.0,44.0,108.0,25.0,True,log_280_of_416.txt
26.0,44.0,108.0,25.0,False,log_281_of_416.txt
28.0,44.0,108.0,25.0,False,log_282_of_416.txt
30.0,44.0,108.0,25.0,True,log_283_of_416.txt
32.0,44.0,108.0,25.0,True,log_284_of_416.txt
34.0,44.0,108.0,25.0,True,log_285_of_416.txt
36.0,44.0,108.0,25.0,True,log_286_of_416.txt
38.0,44.0,108.0,25.0,True,log_287_of_416.txt
40.0,44.0,108.0,25.0,True,log_288_of_416.txt
10.0,46.0,108.0,25.0,False,log_289_of_416.txt
32.0,12.0,108.0,25.0,True,log_28_of_416.txt
12.0,46.0,108.0,25.0,False,log_290_of_416.txt
14.0,46.0,108.0,25.0,False,log_291_of_416.txt
16.0,46.0,108.0,25.0,False,log_292_of_416.txt
18.0,46.0,108.0,25.0,False,log_293_of_416.txt
20.0,46.0,108.0,25.0,False,log_294_of_416.txt
22.0,46.0,108.0,25.0,False,log_295_of_416.txt
24.0,46.0,108.0,25.0,False,log_296_of_416.txt
26.0,46.0,108.0,25.0,False,log_297_of_416.txt
28.0,46.0,108.0,25.0,False,log_298_of_416.txt
30.0,46.0,108.0,25.0,True,log_299_of_416.txt
34.0,12.0,108.0,25.0,True,log_29_of_416.txt
12.0,10.0,108.0,25.0,True,log_2_of_416.txt
32.0,46.0,108.0,25.0,True,log_300_of_416.txt
34.0,46.0,108.0,25.0,True,log_301_of_416.txt
36.0,46.0,108.0,25.0,True,log_302_of_416.txt
38.0,46.0,108.0,25.0,True,log_303_of_416.txt
40.0,46.0,108.0,25.0,True,log_304_of_416.txt
10.0,48.0,108.0,25.0,False,log_305_of_416.txt
12.0,48.0,108.0,25.0,False,log_306_of_416.txt
14.0,48.0,108.0,25.0,False,log_307_of_416.txt
16.0,48.0,108.0,25.0,False,log_308_of_416.txt
18.0,48.0,108.0,25.0,False,log_309_of_416.txt
36.0,12.0,108.0,25.0,True,log_30_of_416.txt
20.0,48.0,108.0,25.0,False,log_310_of_416.txt
22.0,48.0,108.0,25.0,False,log_311_of_416.txt
24.0,48.0,108.0,25.0,False,log_312_of_416.txt
26.0,48.0,108.0,25.0,False,log_313_of_416.txt
28.0,48.0,108.0,25.0,False,log_314_of_416.txt
30.0,48.0,108.0,25.0,True,log_315_of_416.txt
32.0,48.0,108.0,25.0,True,log_316_of_416.txt
34.0,48.0,108.0,25.0,True,log_317_of_416.txt
36.0,48.0,108.0,25.0,True,log_318_of_416.txt
38.0,48.0,108.0,25.0,True,log_319_of_416.txt
38.0,12.0,108.0,25.0,True,log_31_of_416.txt
40.0,48.0,108.0,25.0,True,log_320_of_416.txt
10.0,50.0,108.0,25.0,False,log_321_of_416.txt
12.0,50.0,108.0,25.0,False,log_322_of_416.txt
14.0,50.0,108.0,25.0,False,log_323_of_416.txt
16.0,50.0,108.0,25.0,False,log_324_of_416.txt
18.0,50.0,108.0,25.0,False,log_325_of_416.txt
20.0,50.0,108.0,25.0,False,log_326_of_416.txt
22.0,50.0,108.0,25.0,False,log_327_of_416.txt
24.0,50.0,108.0,25.0,False,log_328_of_416.txt
26.0,50.0,108.0,25.0,False,log_329_of_416.txt
40.0,12.0,108.0,25.0,True,log_32_of_416.txt
28.0,50.0,108.0,25.0,False,log_330_of_416.txt
30.0,50.0,108.0,25.0,False,log_331_of_416.txt
32.0,50.0,108.0,25.0,False,log_332_of_416.txt
34.0,50.0,108.0,25.0,False,log_333_of_416.txt
36.0,50.0,108.0,25.0,True,log_334_of_416.txt
38.0,50.0,108.0,25.0,True,log_335_of_416.txt
40.0,50.0,108.0,25.0,True,log_336_of_416.txt
10.0,52.0,108.0,25.0,False,log_337_of_416.txt
12.0,52.0,108.0,25.0,False,log_338_of_416.txt
14.0,52.0,108.0,25.0,False,log_339_of_416.txt
10.0,14.0,108.0,25.0,True,log_33_of_416.txt
16.0,52.0,108.0,25.0,False,log_340_of_416.txt
18.0,52.0,108.0,25.0,False,log_341_of_416.txt
20.0,52.0,108.0,25.0,False,log_342_of_416.txt
22.0,52.0,108.0,25.0,False,log_343_of_416.txt
24.0,52.0,108.0,25.0,False,log_344_of_416.txt
26.0,52.0,108.0,25.0,False,log_345_of_416.txt
28.0,52.0,108.0,25.0,True,log_346_of_416.txt
30.0,52.0,108.0,25.0,True,log_347_of_416.txt
32.0,52.0,108.0,25.0,True,log_348_of_416.txt
34.0,52.0,108.0,25.0,True,log_349_of_416.txt
12.0,14.0,108.0,25.0,True,log_34_of_416.txt
36.0,52.0,108.0,25.0,True,log_350_of_416.txt
38.0,52.0,108.0,25.0,True,log_351_of_416.txt
40.0,52.0,108.0,25.0,True,log_352_of_416.txt
10.0,54.0,108.0,25.0,False,log_353_of_416.txt
12.0,54.0,108.0,25.0,False,log_354_of_416.txt
14.0,54.0,108.0,25.0,False,log_355_of_416.txt
16.0,54.0,108.0,25.0,False,log_356_of_416.txt
18.0,54.0,108.0,25.0,False,log_357_of_416.txt
20.0,54.0,108.0,25.0,False,log_358_of_416.txt
22.0,54.0,108.0,25.0,False,log_359_of_416.txt
14.0,14.0,108.0,25.0,True,log_35_of_416.txt
24.0,54.0,108.0,25.0,False,log_360_of_416.txt
26.0,54.0,108.0,25.0,False,log_361_of_416.txt
28.0,54.0,108.0,25.0,False,log_362_of_416.txt
30.0,54.0,108.0,25.0,False,log_363_of_416.txt
32.0,54.0,108.0,25.0,False,log_364_of_416.txt
34.0,54.0,108.0,25.0,True,log_365_of_416.txt
36.0,54.0,108.0,25.0,True,log_366_of_416.txt
38.0,54.0,108.0,25.0,True,log_367_of_416.txt
40.0,54.0,108.0,25.0,True,log_368_of_416.txt
10.0,56.0,108.0,25.0,False,log_369_of_416.txt
16.0,14.0,108.0,25.0,True,log_36_of_416.txt
12.0,56.0,108.0,25.0,False,log_370_of_416.txt
14.0,56.0,108.0,25.0,False,log_371_of_416.txt
16.0,56.0,108.0,25.0,False,log_372_of_416.txt
18.0,56.0,108.0,25.0,False,log_373_of_416.txt
20.0,56.0,108.0,25.0,False,log_374_of_416.txt
22.0,56.0,108.0,25.0,False,log_375_of_416.txt
24.0,56.0,108.0,25.0,False,log_376_of_416.txt
26.0,56.0,108.0,25.0,False,log_377_of_416.txt
28.0,56.0,108.0,25.0,False,log_378_of_416.txt
30.0,56.0,108.0,25.0,False,log_379_of_416.txt
18.0,14.0,108.0,25.0,True,log_37_of_416.txt
32.0,56.0,108.0,25.0,True,log_380_of_416.txt
34.0,56.0,108.0,25.0,True,log_381_of_416.txt
36.0,56.0,108.0,25.0,True,log_382_of_416.txt
38.0,56.0,108.0,25.0,True,log_383_of_416.txt
40.0,56.0,108.0,25.0,True,log_384_of_416.txt
10.0,58.0,108.0,25.0,False,log_385_of_416.txt
12.0,58.0,108.0,25.0,False,log_386_of_416.txt
14.0,58.0,108.0,25.0,False,log_387_of_416.txt
16.0,58.0,108.0,25.0,False,log_388_of_416.txt
18.0,58.0,108.0,25.0,False,log_389_of_416.txt
20.0,14.0,108.0,25.0,True,log_38_of_416.txt
20.0,58.0,108.0,25.0,False,log_390_of_416.txt
22.0,58.0,108.0,25.0,False,log_391_of_416.txt
24.0,58.0,108.0,25.0,False,log_392_of_416.txt
26.0,58.0,108.0,25.0,False,log_393_of_416.txt
28.0,58.0,108.0,25.0,False,log_394_of_416.txt
30.0,58.0,108.0,25.0,False,log_395_of_416.txt
32.0,58.0,108.0,25.0,False,log_396_of_416.txt
34.0,58.0,108.0,25.0,True,log_397_of_416.txt
36.0,58.0,108.0,25.0,False,log_398_of_416.txt
38.0,58.0,108.0,25.0,True,log_399_of_416.txt
22.0,14.0,108.0,25.0,True,log_39_of_416.txt
14.0,10.0,108.0,25.0,True,log_3_of_416.txt
40.0,58.0,108.0,25.0,True,log_400_of_416.txt
10.0,60.0,108.0,25.0,False,log_401_of_416.txt
12.0,60.0,108.0,25.0,False,log_402_of_416.txt
14.0,60.0,108.0,25.0,False,log_403_of_416.txt
16.0,60.0,108.0,25.0,False,log_404_of_416.txt
18.0,60.0,108.0,25.0,False,log_405_of_416.txt
20.0,60.0,108.0,25.0,False,log_406_of_416.txt
22.0,60.0,108.0,25.0,False,log_407_of_416.txt
24.0,60.0,108.0,25.0,False,log_408_of_416.txt
26.0,60.0,108.0,25.0,False,log_409_of_416.txt
24.0,14.0,108.0,25.0,True,log_40_of_416.txt
28.0,60.0,108.0,25.0,False,log_410_of_416.txt
30.0,60.0,108.0,25.0,False,log_411_of_416.txt
32.0,60.0,108.0,25.0,False,log_412_of_416.txt
34.0,60.0,108.0,25.0,True,log_413_of_416.txt
36.0,60.0,108.0,25.0,True,log_414_of_416.txt
38.0,60.0,108.0,25.0,True,log_415_of_416.txt
